userPrincipalName,displayName,mailNickname,Password,Enabled,forceChangePasswordNextSignIn
MMSBlogUser51@yourdomain.com,MMSBlogUser51,MMSBlogUser51,MM$Cr3d!,FALSE,TRUE
MMSBlogUser52@yourdomain.com,MMSBlogUser52,MMSBlogUser52,MM$Cr3d!,FALSE,TRUE
MMSBlogUser53@yourdomain.com,MMSBlogUser53,MMSBlogUser53,MM$Cr3d!,FALSE,TRUE
MMSBlogUser54@yourdomain.com,MMSBlogUser54,MMSBlogUser54,MM$Cr3d!,FALSE,TRUE
MMSBlogUser55@yourdomain.com,MMSBlogUser55,MMSBlogUser55,MM$Cr3d!,FALSE,TRUE
MMSBlogUser56@yourdomain.com,MMSBlogUser56,MMSBlogUser56,MM$Cr3d!,FALSE,TRUE
MMSBlogUser57@yourdomain.com,MMSBlogUser57,MMSBlogUser57,MM$Cr3d!,FALSE,TRUE
MMSBlogUser58@yourdomain.com,MMSBlogUser58,MMSBlogUser58,MM$Cr3d!,FALSE,TRUE
MMSBlogUser59@yourdomain.com,MMSBlogUser59,MMSBlogUser59,MM$Cr3d!,FALSE,TRUE
MMSBlogUser60@yourdomain.com,MMSBlogUser60,MMSBlogUser60,MM$Cr3d!,FALSE,TRUE
MMSBlogUser61@yourdomain.com,MMSBlogUser61,MMSBlogUser61,MM$Cr3d!,FALSE,TRUE
MMSBlogUser62@yourdomain.com,MMSBlogUser62,MMSBlogUser62,MM$Cr3d!,FALSE,TRUE
MMSBlogUser63@yourdomain.com,MMSBlogUser63,MMSBlogUser63,MM$Cr3d!,FALSE,TRUE
MMSBlogUser64@yourdomain.com,MMSBlogUser64,MMSBlogUser64,MM$Cr3d!,FALSE,TRUE
MMSBlogUser65@yourdomain.com,MMSBlogUser65,MMSBlogUser65,MM$Cr3d!,FALSE,TRUE
MMSBlogUser66@yourdomain.com,MMSBlogUser66,MMSBlogUser66,MM$Cr3d!,FALSE,TRUE
MMSBlogUser67@yourdomain.com,MMSBlogUser67,MMSBlogUser67,MM$Cr3d!,FALSE,TRUE
MMSBlogUser68@yourdomain.com,MMSBlogUser68,MMSBlogUser68,MM$Cr3d!,FALSE,TRUE
MMSBlogUser69@yourdomain.com,MMSBlogUser69,MMSBlogUser69,MM$Cr3d!,FALSE,TRUE
MMSBlogUser70@yourdomain.com,MMSBlogUser70,MMSBlogUser70,MM$Cr3d!,FALSE,TRUE
MMSBlogUser71@yourdomain.com,MMSBlogUser71,MMSBlogUser71,MM$Cr3d!,FALSE,TRUE
MMSBlogUser72@yourdomain.com,MMSBlogUser72,MMSBlogUser72,MM$Cr3d!,FALSE,TRUE
MMSBlogUser73@yourdomain.com,MMSBlogUser73,MMSBlogUser73,MM$Cr3d!,FALSE,TRUE
MMSBlogUser74@yourdomain.com,MMSBlogUser74,MMSBlogUser74,MM$Cr3d!,FALSE,TRUE
MMSBlogUser75@yourdomain.com,MMSBlogUser75,MMSBlogUser75,MM$Cr3d!,FALSE,TRUE
MMSBlogUser76@yourdomain.com,MMSBlogUser76,MMSBlogUser76,MM$Cr3d!,FALSE,TRUE
MMSBlogUser77@yourdomain.com,MMSBlogUser77,MMSBlogUser77,MM$Cr3d!,FALSE,TRUE
MMSBlogUser78@yourdomain.com,MMSBlogUser78,MMSBlogUser78,MM$Cr3d!,FALSE,TRUE
MMSBlogUser79@yourdomain.com,MMSBlogUser79,MMSBlogUser79,MM$Cr3d!,FALSE,TRUE
MMSBlogUser80@yourdomain.com,MMSBlogUser80,MMSBlogUser80,MM$Cr3d!,FALSE,TRUE
MMSBlogUser81@yourdomain.com,MMSBlogUser81,MMSBlogUser81,MM$Cr3d!,FALSE,TRUE
MMSBlogUser82@yourdomain.com,MMSBlogUser82,MMSBlogUser82,MM$Cr3d!,FALSE,TRUE
MMSBlogUser83@yourdomain.com,MMSBlogUser83,MMSBlogUser83,MM$Cr3d!,FALSE,TRUE
MMSBlogUser84@yourdomain.com,MMSBlogUser84,MMSBlogUser84,MM$Cr3d!,FALSE,TRUE
MMSBlogUser85@yourdomain.com,MMSBlogUser85,MMSBlogUser85,MM$Cr3d!,FALSE,TRUE
MMSBlogUser86@yourdomain.com,MMSBlogUser86,MMSBlogUser86,MM$Cr3d!,FALSE,TRUE
MMSBlogUser87@yourdomain.com,MMSBlogUser87,MMSBlogUser87,MM$Cr3d!,FALSE,TRUE
MMSBlogUser88@yourdomain.com,MMSBlogUser88,MMSBlogUser88,MM$Cr3d!,FALSE,TRUE
MMSBlogUser89@yourdomain.com,MMSBlogUser89,MMSBlogUser89,MM$Cr3d!,FALSE,TRUE
MMSBlogUser90@yourdomain.com,MMSBlogUser90,MMSBlogUser90,MM$Cr3d!,FALSE,TRUE
MMSBlogUser91@yourdomain.com,MMSBlogUser91,MMSBlogUser91,MM$Cr3d!,FALSE,TRUE
MMSBlogUser92@yourdomain.com,MMSBlogUser92,MMSBlogUser92,MM$Cr3d!,FALSE,TRUE
MMSBlogUser93@yourdomain.com,MMSBlogUser93,MMSBlogUser93,MM$Cr3d!,FALSE,TRUE
MMSBlogUser94@yourdomain.com,MMSBlogUser94,MMSBlogUser94,MM$Cr3d!,FALSE,TRUE
MMSBlogUser95@yourdomain.com,MMSBlogUser95,MMSBlogUser95,MM$Cr3d!,FALSE,TRUE
MMSBlogUser96@yourdomain.com,MMSBlogUser96,MMSBlogUser96,MM$Cr3d!,FALSE,TRUE
MMSBlogUser97@yourdomain.com,MMSBlogUser97,MMSBlogUser97,MM$Cr3d!,FALSE,TRUE
MMSBlogUser98@yourdomain.com,MMSBlogUser98,MMSBlogUser98,MM$Cr3d!,FALSE,TRUE
MMSBlogUser99@yourdomain.com,MMSBlogUser99,MMSBlogUser99,MM$Cr3d!,FALSE,TRUE
MMSBlogUser100@yourdomain.com,MMSBlogUser100,MMSBlogUser100,MM$Cr3d!,FALSE,TRUE
